x,y,state
38.45,-12.18,nonconfident_right
47.14,-19.75,confident_right
39.95,-16.85,confident_right
35.88,0.55,nonconfident_wrong
33.88,-9.12,nonconfident_wrong
39.58,-11.53,confident_right
36.65,-2.75,nonconfident_wrong
36.31,2.95,nonconfident_wrong
38.70,2.35,confident_right
39.16,-7.48,confident_right
46.78,-16.03,nonconfident_right
41.25,-19.61,confident_right
27.89,-4.50,confident_right
46.36,-19.29,confident_right
49.46,-27.08,confident_right
36.54,-11.10,nonconfident_wrong
38.87,-17.13,confident_right
28.09,-2.81,confident_right
31.61,-9.41,confident_right
45.32,-22.49,confident_right
45.17,-7.98,overconfident_wrong
43.26,-7.88,nonconfident_right
39.29,-9.11,nonconfident_right
39.12,-1.88,confident_right
35.81,-13.22,confident_right
45.27,-15.87,confident_right
49.10,-30.54,confident_right
40.07,-17.47,nonconfident_right
42.70,-11.64,confident_right
35.56,-7.99,confident_right
35.34,-6.21,nonconfident_right
37.85,-13.83,confident_right
36.09,-6.52,confident_right
45.43,-20.25,nonconfident_right
35.74,-13.72,nonconfident_right
27.74,1.73,nonconfident_right
32.99,-2.70,nonconfident_right
37.66,-7.40,confident_right
34.03,-16.81,nonconfident_wrong
48.21,-16.67,confident_right
44.33,-21.74,overconfident_wrong
45.29,-5.53,nonconfident_right
44.94,-12.70,nonconfident_wrong
48.57,-15.81,confident_right
48.44,-15.15,nonconfident_right
42.51,-7.84,confident_right
29.92,-4.27,confident_right
31.83,-0.33,nonconfident_wrong
14.87,-13.08,nonconfident_right
29.92,-7.28,confident_right
40.84,-17.36,confident_right
41.03,-5.55,overconfident_wrong
39.61,0.66,nonconfident_right
26.28,-5.38,confident_right
45.35,-17.00,confident_right
42.95,-15.88,overconfident_wrong
32.05,1.19,confident_right
40.98,-9.00,confident_right
12.70,-8.64,nonconfident_right
40.70,-6.01,confident_right
33.20,2.94,confident_right
43.81,-2.90,nonconfident_wrong
53.70,-24.40,overconfident_wrong
31.54,2.19,nonconfident_wrong
32.96,5.52,confident_right
33.98,-14.48,nonconfident_wrong
49.08,-11.92,confident_right
41.72,-6.25,nonconfident_wrong
32.09,-1.25,nonconfident_wrong
45.70,-11.55,confident_right
46.61,-19.90,nonconfident_wrong
36.17,-4.41,nonconfident_wrong
51.26,-17.94,confident_right
43.96,-13.48,confident_right
34.25,-8.75,nonconfident_right
42.59,-14.20,nonconfident_right
36.70,0.91,nonconfident_wrong
34.50,-4.18,overconfident_wrong
35.28,2.32,confident_right
41.91,-12.51,confident_right
35.58,-8.50,nonconfident_wrong
41.71,-20.02,overconfident_wrong
31.66,-2.65,overconfident_wrong
15.52,-18.69,nonconfident_wrong
44.55,-11.98,confident_right
30.83,-0.93,overconfident_wrong
49.68,-20.33,confident_right
48.59,-24.23,nonconfident_wrong
28.99,-5.85,nonconfident_right
46.99,-28.62,nonconfident_right
35.79,-9.53,nonconfident_right
37.33,-16.20,confident_right
39.56,-13.01,nonconfident_right
41.54,-8.32,confident_right
40.97,-2.88,nonconfident_right
41.37,-9.14,confident_right
40.31,-8.08,confident_right
48.80,-14.36,nonconfident_right
34.84,-0.11,confident_right
41.25,-15.60,confident_right
44.52,-13.44,confident_right
43.66,-18.98,confident_right
42.65,-9.08,nonconfident_wrong
38.02,-12.64,confident_right
44.37,-18.74,confident_right
27.11,-6.51,nonconfident_right
24.48,-3.16,nonconfident_wrong
30.19,-4.04,confident_right
45.02,-7.86,confident_right
29.84,0.62,confident_right
37.32,-5.46,confident_right
26.71,0.10,nonconfident_wrong
47.87,-24.75,nonconfident_wrong
47.86,-18.76,confident_right
36.44,0.31,overconfident_wrong
31.29,1.12,confident_right
37.04,-14.59,nonconfident_wrong
40.38,-10.77,overconfident_wrong
47.34,-2.07,confident_right
42.85,-12.54,confident_right
21.79,-10.28,nonconfident_wrong
40.29,-3.58,confident_right
44.90,-10.37,confident_right
27.21,-8.96,nonconfident_right
39.84,-3.12,confident_right
42.09,-22.70,confident_right
33.97,-11.37,confident_right
47.45,-9.67,nonconfident_right
41.69,-5.53,nonconfident_right
37.41,-11.64,confident_right
28.40,-12.70,confident_right
27.26,2.08,confident_right
40.05,-2.15,confident_right
39.09,-11.54,confident_right
47.29,-24.25,confident_right
37.92,-0.49,overconfident_wrong
39.41,-11.39,confident_right
15.89,-18.89,confident_right
47.15,-15.92,confident_right
38.57,-4.60,confident_right
46.32,-10.49,confident_right
32.88,-16.48,nonconfident_right
39.88,-15.95,confident_right
42.61,-16.25,confident_right
40.12,-14.38,confident_right
38.13,-1.28,nonconfident_wrong
36.69,-8.22,overconfident_wrong
47.82,-23.21,nonconfident_wrong
34.90,-11.43,confident_right
47.56,-23.66,nonconfident_right
35.63,-1.33,overconfident_wrong
38.41,-4.69,confident_right
22.06,3.02,overconfident_wrong
42.83,-14.62,confident_right
26.22,1.25,confident_right
37.82,-1.90,overconfident_wrong
34.54,-14.67,overconfident_wrong
42.91,-14.39,nonconfident_wrong
34.12,5.26,overconfident_wrong
44.29,-12.13,confident_right
39.76,-12.15,confident_right
42.29,-20.50,overconfident_wrong
37.63,-22.98,nonconfident_wrong
28.44,-3.09,nonconfident_right
39.49,-12.44,confident_right
