x,y,state
-0.50,5.06,nonconfident_wrong
-3.82,7.54,nonconfident_wrong
11.89,-13.02,nonconfident_right
-0.02,4.16,nonconfident_wrong
14.72,-11.09,nonconfident_right
-0.47,4.64,nonconfident_wrong
-4.95,6.45,nonconfident_right
1.82,-3.70,nonconfident_right
1.95,3.33,nonconfident_wrong
-1.62,5.66,nonconfident_wrong
0.66,-1.25,nonconfident_wrong
-1.58,2.14,nonconfident_right
3.93,6.65,nonconfident_right
3.36,-4.73,overconfident_wrong
3.18,2.88,nonconfident_right
5.96,-7.96,nonconfident_right
3.47,1.02,confident_right
1.23,-2.43,nonconfident_right
5.15,3.84,nonconfident_wrong
3.79,-1.55,nonconfident_right
-1.03,-1.44,nonconfident_wrong
16.00,-15.32,nonconfident_wrong
-1.79,-2.10,nonconfident_right
9.32,-7.08,nonconfident_wrong
2.13,4.24,nonconfident_right
3.30,2.67,nonconfident_wrong
-0.97,1.28,overconfident_wrong
4.88,-1.41,nonconfident_right
10.02,-8.86,nonconfident_wrong
18.01,-11.86,nonconfident_wrong
-2.38,1.45,nonconfident_right
4.70,-5.66,nonconfident_right
-0.53,-2.16,nonconfident_right
6.34,-3.16,nonconfident_wrong
-1.93,6.34,nonconfident_wrong
3.70,0.47,nonconfident_right
-0.54,-1.10,nonconfident_right
5.86,3.12,nonconfident_right
1.10,1.94,nonconfident_wrong
4.47,-1.04,nonconfident_wrong
6.51,-2.02,nonconfident_right
5.49,-4.80,nonconfident_wrong
0.48,4.87,nonconfident_right
10.90,-4.67,nonconfident_right
5.88,-4.40,nonconfident_wrong
9.37,-12.88,nonconfident_wrong
5.36,-6.23,nonconfident_right
12.66,-11.09,nonconfident_wrong
5.02,-4.63,nonconfident_right
9.49,-3.67,nonconfident_right
5.14,-5.94,nonconfident_right
0.17,0.87,nonconfident_wrong
-9.33,5.82,nonconfident_wrong
13.32,-7.81,nonconfident_right
10.78,-10.37,nonconfident_right
1.98,2.29,nonconfident_right
8.33,-5.10,nonconfident_wrong
3.05,-4.43,nonconfident_right
4.43,0.55,nonconfident_right
2.43,5.24,nonconfident_right
5.45,1.95,nonconfident_wrong
9.49,-9.98,nonconfident_right
2.06,-1.50,nonconfident_wrong
2.50,-0.48,nonconfident_wrong
-3.06,1.83,nonconfident_right
8.80,-12.33,nonconfident_right
11.14,-7.14,nonconfident_right
3.01,-0.30,nonconfident_right
7.03,-5.95,nonconfident_right
