x,y,state
44.46,-9.27,nonconfident_wrong
43.16,-17.82,overconfident_wrong
17.50,0.91,nonconfident_wrong
32.88,9.59,overconfident_wrong
38.65,4.04,nonconfident_wrong
21.66,-1.03,overconfident_wrong
50.27,-24.31,nonconfident_right
36.76,-2.06,confident_right
3.31,0.28,nonconfident_wrong
23.49,-0.56,nonconfident_wrong
22.12,-3.72,nonconfident_wrong
15.73,-4.83,nonconfident_wrong
36.88,-5.82,nonconfident_right
3.20,-4.49,nonconfident_wrong
38.28,-2.31,overconfident_wrong
31.35,1.15,confident_right
41.55,-7.99,overconfident_wrong
31.45,-2.48,nonconfident_wrong
29.15,-7.11,nonconfident_wrong
36.50,0.54,nonconfident_wrong
39.92,1.03,overconfident_wrong
45.59,-4.00,confident_right
10.48,-8.89,nonconfident_right
24.52,-1.47,nonconfident_right
37.92,0.05,confident_right
39.90,-0.17,nonconfident_wrong
33.53,1.82,nonconfident_wrong
45.61,-6.94,overconfident_wrong
31.49,4.68,confident_right
25.22,-4.28,nonconfident_right
29.41,-8.79,nonconfident_wrong
45.21,-26.79,nonconfident_wrong
24.40,5.96,overconfident_wrong
38.12,-4.04,nonconfident_right
50.53,-15.50,confident_right
45.72,-10.80,nonconfident_wrong
26.76,11.15,nonconfident_wrong
43.96,-2.95,overconfident_wrong
17.27,-6.11,overconfident_wrong
51.10,-18.33,nonconfident_right
31.35,-3.71,nonconfident_wrong
15.38,-9.61,nonconfident_right
38.60,-19.62,nonconfident_wrong
26.27,2.68,confident_right
46.16,-11.52,confident_right
40.70,-13.26,overconfident_wrong
42.30,-8.29,nonconfident_wrong
31.42,-0.64,overconfident_wrong
28.12,4.52,overconfident_wrong
8.34,-8.38,nonconfident_right
15.02,1.48,confident_right
20.56,0.68,nonconfident_wrong
44.96,-18.15,overconfident_wrong
14.16,4.38,confident_right
39.99,-0.37,nonconfident_right
25.01,-8.58,confident_right
25.67,8.39,confident_right
52.39,-30.44,confident_right
24.60,-0.77,nonconfident_right
4.35,-1.91,nonconfident_wrong
5.08,3.21,nonconfident_wrong
41.83,-6.16,overconfident_wrong
21.44,10.25,nonconfident_wrong
52.67,-17.24,confident_right
37.73,1.96,nonconfident_right
31.51,-1.65,overconfident_wrong
44.01,-16.50,confident_right
40.49,-9.88,confident_right
43.14,-11.15,confident_right
30.55,3.54,nonconfident_wrong
47.86,-14.19,nonconfident_wrong
18.56,6.67,nonconfident_right
40.44,-14.92,confident_right
43.21,-5.64,overconfident_wrong
46.70,-15.60,confident_right
27.51,8.28,nonconfident_right
16.04,8.35,nonconfident_wrong
31.75,-6.43,overconfident_wrong
42.92,-3.53,nonconfident_wrong
51.75,-28.36,nonconfident_wrong
54.37,-23.47,nonconfident_right
12.77,-10.02,overconfident_wrong
34.43,-1.34,nonconfident_right
43.71,-18.42,overconfident_wrong
48.78,-31.29,confident_right
10.88,9.40,nonconfident_right
49.20,-20.95,confident_right
31.15,-3.11,confident_right
20.98,-0.75,nonconfident_wrong
21.06,8.21,nonconfident_right
53.84,-21.85,nonconfident_wrong
30.00,-1.33,confident_right
28.81,2.23,nonconfident_right
28.99,-10.97,nonconfident_wrong
1.67,3.86,nonconfident_wrong
38.15,-2.93,nonconfident_right
42.94,-11.57,overconfident_wrong
23.47,3.46,confident_right
37.41,-10.37,overconfident_wrong
30.11,-2.49,nonconfident_right
10.44,-5.46,confident_right
27.56,9.58,nonconfident_right
31.56,-4.57,overconfident_wrong
33.25,8.76,confident_right
42.39,-2.34,nonconfident_right
26.30,-7.37,nonconfident_right
41.29,-5.31,overconfident_wrong
34.04,-1.89,confident_right
42.88,-7.01,overconfident_wrong
40.86,1.31,nonconfident_wrong
33.32,-5.66,nonconfident_right
47.27,-10.75,nonconfident_wrong
47.71,-13.96,nonconfident_right
-0.66,13.39,nonconfident_right
33.85,1.75,nonconfident_wrong
21.76,-1.75,nonconfident_wrong
37.93,-5.48,nonconfident_wrong
34.45,-1.99,nonconfident_wrong
31.17,12.09,nonconfident_wrong
49.67,-20.12,nonconfident_wrong
32.96,-12.70,overconfident_wrong
33.40,4.80,overconfident_wrong
17.65,0.01,nonconfident_right
-0.57,7.05,nonconfident_wrong
-1.45,14.52,nonconfident_wrong
47.00,-15.76,confident_right
44.70,-26.83,nonconfident_right
16.89,4.27,nonconfident_wrong
39.60,-15.83,confident_right
37.01,-18.56,confident_right
14.00,-11.83,nonconfident_wrong
28.42,0.98,nonconfident_right
28.82,-1.71,overconfident_wrong
35.75,-9.86,confident_right
16.96,-2.89,confident_right
-4.14,6.92,nonconfident_wrong
17.33,7.74,nonconfident_right
36.33,-3.59,confident_right
33.43,-0.91,confident_right
25.00,0.38,overconfident_wrong
37.92,-12.56,nonconfident_right
53.19,-20.57,nonconfident_wrong
36.87,-12.75,confident_right
36.85,-8.78,overconfident_wrong
41.99,0.09,nonconfident_wrong
10.67,11.42,nonconfident_wrong
48.38,-8.93,confident_right
10.06,4.79,nonconfident_right
31.44,13.06,nonconfident_wrong
23.19,2.64,nonconfident_right
32.12,-6.90,confident_right
39.34,-7.20,nonconfident_wrong
39.49,11.68,overconfident_wrong
34.99,3.27,overconfident_wrong
47.29,-7.52,overconfident_wrong
31.66,7.56,nonconfident_wrong
14.31,1.59,nonconfident_wrong
46.97,-15.47,overconfident_wrong
